,Broad business,Recession alerts,Industrial Production,Manufacturing,Services,Small Business sentix,Consumption,Consumers sentiment,Labour general,Labour HH survey,Labour estabilishment survey,Housing activity,Retail sales,corporate sales & margins,"Income, savings",Interest rates,Rates sentiment,CPI,CPI sentiment,PPI finished goods,BS_housing wealth,BS_housing refinancing,BS_current asset / liabilities,Savings rate ,Fed liquidity
30/04/2001,31.43939394,68.33333333,15.32738095,58.7037037,41.30952381,39.46428571,11.11111111,23.03030303,20.77586207,22.5,37.82608696,67.93831169,9.126984127,33.03030303,28.33333333,31.6025641,38.59126984,54.6957672,36.03174603,31.74603175,49.82142857,57.80612245,54.82142857,7.321428571,70.40816327
31/05/2001,31.67613636,72.8515625,19.09722222,62.41319444,39.50892857,51.08333333,23.95833333,37.64204545,26.13146552,22.265625,40.04755435,69.39393939,15.18518519,31.72348485,28.66666667,31.21995192,46.01851852,49.84567901,56.8452381,36.66666667,45.5,64.28571429,50.16666667,7,60.95238095
30/06/2001,42.31283422,68.75,17.96875,61.68300654,47.58403361,57.8125,30.88235294,46.52406417,24.6703854,20.79831933,38.77877238,58.87784091,16.31944444,27.36185383,50.625,35.20927602,36.37152778,51.38888889,52.94117647,46.875,59.78515625,66.60714286,45,7.34375,82.58928571
31/07/2001,47.34848485,55.55555556,15.68627451,68.75,45.23809524,49.41176471,25,54.04040404,30.5316092,21.77579365,40.2173913,62.63368984,13.07189542,27.44107744,49.21568627,31.43696581,33.49673203,58.36056645,19.57671958,32.67973856,58.75,69.74789916,48.38235294,11.47058824,54.62184874
31/08/2001,50.77751196,53.125,14.58333333,70.39473684,48.77819549,53.54166667,27.63157895,47.1291866,21.9600726,16.16541353,37.75743707,59.46969697,26.2345679,30.94098884,26.85185185,29.78238866,39.35185185,49.02263374,37.3433584,20.67901235,67.8125,65.87301587,52.63888889,17.15277778,82.93650794
30/09/2001,41.36363636,60.9375,26.20614035,60.55555556,49.10714286,61.18421053,9.166666667,14.14772727,15.99137931,17.58928571,34.23913043,56.75837321,29.53216374,29.01515152,32.80701754,30.04807692,37.64619883,48.29434698,19.4047619,22.22222222,55.69078947,58.0075188,59.73684211,15,73.30827068
31/10/2001,44.26406926,58.03571429,26.04166667,34.06084656,25.68027211,48.1875,41.66666667,22.61904762,11.10426929,14.79591837,32.99689441,39.09090909,4.722222222,31.45743146,27.83333333,25.8470696,64.79166667,44.67592593,16.66666667,24.16666667,45.15625,56.25,58.5,9.5,78.92857143
30/11/2001,48.45041322,64.77272727,31.54761905,50.56818182,38.96103896,41.78571429,31.43939394,23.96694215,16.30094044,14.73214286,33.2756917,35.76839827,30.42328042,22.79614325,60.15873016,33.78496503,44.84126984,46.11992945,9.74025974,7.407407407,56.51785714,60.27210884,63.33333333,8.452380952,89.79591837
31/12/2001,61.16600791,58.83152174,27.46212121,60.50724638,38.12111801,45.73863636,40.2173913,55.92885375,20.29610195,13.81987578,31.89981096,70.76446281,30.05050505,30.63241107,59.24242424,43.10200669,33.01767677,47.64309764,18.2194617,4.545454545,34.77272727,76.62337662,58.86363636,8.465909091,66.55844156
31/01/2002,66.42992424,68.22916667,36.73007246,62.26851852,49.4047619,57.77173913,21.52777778,69.03409091,27.26293103,16.48065476,33.87681159,72.08498024,33.81642512,27.96717172,58.69565217,42.78846154,42.33091787,39.09017713,38.19444444,4.830917874,77.37771739,73.29192547,61.68478261,13.47826087,78.88198758
